producto,precioFinal,fechaPublicacion
LPG (70-30),447.0,2022-03-30
LPG (rico en propano),0.0,2022-03-30
Av-Gas          ,1107.0,2022-03-30
Jet fuel A-1,795.0,2022-03-30
Nafta Pesada    ,0.0,2022-03-30
Gasolina RON 95 ,822.0,2022-03-01
Gasolina RON 91,804.0,2022-03-01
Gasolina RON 91 pescadores,0.0,2022-03-01
Diésel para uso automotriz de 50 ppm de azufre,724.0,2022-03-01
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2022-03-01
Diésel marino,0.0,2022-03-01
Keroseno ,640.0,2022-03-01
Búnker    ,0.0,2022-03-01
Búnker Térmico ICE,0.0,2022-03-01
IFO 380   ,0.0,2022-03-01
Asfalto ,0.0,2022-03-01
Asfalto AC-10,0.0,2022-03-01
Diésel pesado o gasoleo,0.0,2022-03-01
Emulsión asfáltica rápida (RR),0.0,2022-03-01
Emulsión asfáltica lenta (RL),0.0,2022-03-01
LPG (70-30),401.0,2022-03-01
LPG (rico en propano),0.0,2022-03-01
Av-Gas          ,1027.0,2022-03-01
Jet fuel A-1,695.0,2022-03-01
Nafta Pesada    ,0.0,2022-03-01
Gasolina RON 95 ,765.0,2022-02-10
Gasolina RON 91,748.0,2022-02-10
Gasolina RON 91 pescadores,0.0,2022-02-10
Diésel para uso automotriz de 50 ppm de azufre,671.0,2022-02-10
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2022-02-10
Diésel marino,0.0,2022-02-10
Keroseno ,594.0,2022-02-10
Búnker    ,0.0,2022-02-10
Búnker Térmico ICE,0.0,2022-02-10
IFO 380   ,0.0,2022-02-10
Asfalto ,0.0,2022-02-10
Asfalto AC-10,0.0,2022-02-10
Diésel pesado o gasoleo,0.0,2022-02-10
Emulsión asfáltica rápida (RR),0.0,2022-02-10
Emulsión asfáltica lenta (RL),0.0,2022-02-10
LPG (70-30),377.0,2022-02-10
LPG (rico en propano),0.0,2022-02-10
Av-Gas          ,1015.0,2022-02-10
Jet fuel A-1,653.0,2022-02-10
Nafta Pesada    ,0.0,2022-02-10
Gasolina RON 95 ,760.0,2022-02-01
Gasolina RON 91,744.0,2022-02-01
Gasolina RON 91 pescadores,0.0,2022-02-01
Diésel para uso automotriz de 50 ppm de azufre,668.0,2022-02-01
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2022-02-01
Diésel marino,0.0,2022-02-01
Keroseno ,593.0,2022-02-01
Búnker    ,0.0,2022-02-01
Búnker Térmico ICE,0.0,2022-02-01
IFO 380   ,0.0,2022-02-01
Asfalto ,0.0,2022-02-01
Asfalto AC-10,0.0,2022-02-01
Diésel pesado o gasoleo,0.0,2022-02-01
Emulsión asfáltica rápida (RR),0.0,2022-02-01
Emulsión asfáltica lenta (RL),0.0,2022-02-01
LPG (70-30),377.0,2022-02-01
LPG (rico en propano),0.0,2022-02-01
Av-Gas          ,1010.0,2022-02-01
Jet fuel A-1,650.0,2022-02-01
Nafta Pesada    ,0.0,2022-02-01
Gasolina RON 95 ,714.0,2022-01-14
Gasolina RON 91,697.0,2022-01-14
Gasolina RON 91 pescadores,0.0,2022-01-14
Diésel para uso automotriz de 50 ppm de azufre,611.0,2022-01-14
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2022-01-14
Diésel marino,0.0,2022-01-14
Keroseno ,535.0,2022-01-14
Búnker    ,0.0,2022-01-14
Búnker Térmico ICE,0.0,2022-01-14
IFO 380   ,0.0,2022-01-14
Asfalto ,0.0,2022-01-14
Asfalto AC-10,0.0,2022-01-14
Diésel pesado o gasoleo,0.0,2022-01-14
Emulsión asfáltica rápida (RR),0.0,2022-01-14
Emulsión asfáltica lenta (RL),0.0,2022-01-14
LPG (70-30),344.0,2022-01-14
LPG (rico en propano),0.0,2022-01-14
Av-Gas          ,992.0,2022-01-14
Jet fuel A-1,592.0,2022-01-14
Nafta Pesada    ,0.0,2022-01-14
Gasolina RON 95 ,714.0,2021-12-23
Gasolina RON 91,697.0,2021-12-23
Gasolina RON 91 pescadores,0.0,2021-12-23
Diésel para uso automotriz de 50 ppm de azufre,611.0,2021-12-23
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-12-23
Diésel marino,0.0,2021-12-23
Keroseno ,535.0,2021-12-23
Búnker    ,0.0,2021-12-23
Búnker Térmico ICE,0.0,2021-12-23
IFO 380   ,0.0,2021-12-23
Asfalto ,0.0,2021-12-23
Asfalto AC-10,0.0,2021-12-23
Diésel pesado o gasoleo,0.0,2021-12-23
Emulsión asfáltica rápida (RR),0.0,2021-12-23
Emulsión asfáltica lenta (RL),0.0,2021-12-23
LPG (70-30),372.0,2021-12-23
LPG (rico en propano),0.0,2021-12-23
Av-Gas          ,992.0,2021-12-23
Jet fuel A-1,592.0,2021-12-23
Nafta Pesada    ,0.0,2021-12-23
Gasolina RON 95 ,766.0,2021-12-01
Gasolina RON 91,750.0,2021-12-01
Gasolina RON 91 pescadores,0.0,2021-12-01
Diésel para uso automotriz de 50 ppm de azufre,649.0,2021-12-01
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-12-01
Diésel marino,0.0,2021-12-01
Keroseno ,582.0,2021-12-01
Búnker    ,0.0,2021-12-01
Búnker Térmico ICE,0.0,2021-12-01
IFO 380   ,0.0,2021-12-01
Asfalto ,0.0,2021-12-01
Asfalto AC-10,0.0,2021-12-01
Diésel pesado o gasoleo,0.0,2021-12-01
Emulsión asfáltica rápida (RR),0.0,2021-12-01
Emulsión asfáltica lenta (RL),0.0,2021-12-01
LPG (70-30),447.0,2021-12-01
LPG (rico en propano),0.0,2021-12-01
Av-Gas          ,1053.0,2021-12-01
Jet fuel A-1,623.0,2021-12-01
Nafta Pesada    ,0.0,2021-12-01
Gasolina RON 95 ,738.0,2021-11-12
Gasolina RON 91,723.0,2021-11-12
Gasolina RON 91 pescadores,0.0,2021-11-12
Diésel para uso automotriz de 50 ppm de azufre,621.0,2021-11-12
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-11-12
Diésel marino,0.0,2021-11-12
Keroseno ,553.0,2021-11-12
Búnker    ,0.0,2021-11-12
Búnker Térmico ICE,0.0,2021-11-12
IFO 380   ,0.0,2021-11-12
Asfalto ,0.0,2021-11-12
Asfalto AC-10,0.0,2021-11-12
Diésel pesado o gasoleo,0.0,2021-11-12
Emulsión asfáltica rápida (RR),0.0,2021-11-12
Emulsión asfáltica lenta (RL),0.0,2021-11-12
LPG (70-30),446.0,2021-11-12
LPG (rico en propano),0.0,2021-11-12
Av-Gas          ,1006.0,2021-11-12
Jet fuel A-1,594.0,2021-11-12
Nafta Pesada    ,0.0,2021-11-12
Gasolina RON 95 ,736.0,2021-10-27
Gasolina RON 91,721.0,2021-10-27
Gasolina RON 91 pescadores,0.0,2021-10-27
Diésel para uso automotriz de 50 ppm de azufre,620.0,2021-10-27
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-10-27
Diésel marino,0.0,2021-10-27
Keroseno ,553.0,2021-10-27
Búnker    ,0.0,2021-10-27
Búnker Térmico ICE,0.0,2021-10-27
IFO 380   ,0.0,2021-10-27
Asfalto ,0.0,2021-10-27
Asfalto AC-10,0.0,2021-10-27
Diésel pesado o gasoleo,0.0,2021-10-27
Emulsión asfáltica rápida (RR),0.0,2021-10-27
Emulsión asfáltica lenta (RL),0.0,2021-10-27
LPG (70-30),446.0,2021-10-27
LPG (rico en propano),0.0,2021-10-27
Av-Gas          ,1005.0,2021-10-27
Jet fuel A-1,593.0,2021-10-27
Nafta Pesada    ,0.0,2021-10-27
Gasolina RON 95 ,734.0,2021-09-29
Gasolina RON 91,715.0,2021-09-29
Gasolina RON 91 pescadores,0.0,2021-09-29
Diésel para uso automotriz de 50 ppm de azufre,596.0,2021-09-29
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-09-29
Diésel marino,0.0,2021-09-29
Keroseno ,512.0,2021-09-29
Búnker    ,0.0,2021-09-29
Búnker Térmico ICE,0.0,2021-09-29
IFO 380   ,0.0,2021-09-29
Asfalto ,0.0,2021-09-29
Asfalto AC-10,0.0,2021-09-29
Diésel pesado o gasoleo,0.0,2021-09-29
Emulsión asfáltica rápida (RR),0.0,2021-09-29
Emulsión asfáltica lenta (RL),0.0,2021-09-29
LPG (70-30),399.0,2021-09-29
LPG (rico en propano),0.0,2021-09-29
Av-Gas          ,998.0,2021-09-29
Jet fuel A-1,567.0,2021-09-29
Nafta Pesada    ,0.0,2021-09-29
Gasolina RON 95 ,741.0,2021-08-31
Gasolina RON 91,718.0,2021-08-31
Gasolina RON 91 pescadores,0.0,2021-08-31
Diésel para uso automotriz de 50 ppm de azufre,589.0,2021-08-31
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-08-31
Diésel marino,0.0,2021-08-31
Keroseno ,499.0,2021-08-31
Búnker    ,0.0,2021-08-31
Búnker Térmico ICE,0.0,2021-08-31
IFO 380   ,0.0,2021-08-31
Asfalto ,0.0,2021-08-31
Asfalto AC-10,0.0,2021-08-31
Diésel pesado o gasoleo,0.0,2021-08-31
Emulsión asfáltica rápida (RR),0.0,2021-08-31
Emulsión asfáltica lenta (RL),0.0,2021-08-31
LPG (70-30),383.0,2021-08-31
LPG (rico en propano),0.0,2021-08-31
Av-Gas          ,1014.0,2021-08-31
Jet fuel A-1,554.0,2021-08-31
Nafta Pesada    ,0.0,2021-08-31
Gasolina RON 95 ,751.0,2021-08-12
Gasolina RON 91,727.0,2021-08-12
Gasolina RON 91 pescadores,0.0,2021-08-12
Diésel para uso automotriz de 50 ppm de azufre,598.0,2021-08-12
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-08-12
Diésel marino,0.0,2021-08-12
Keroseno ,506.0,2021-08-12
Búnker    ,0.0,2021-08-12
Búnker Térmico ICE,0.0,2021-08-12
IFO 380   ,0.0,2021-08-12
Asfalto ,0.0,2021-08-12
Asfalto AC-10,0.0,2021-08-12
Diésel pesado o gasoleo,0.0,2021-08-12
Emulsión asfáltica rápida (RR),0.0,2021-08-12
Emulsión asfáltica lenta (RL),0.0,2021-08-12
LPG (70-30),375.0,2021-08-12
LPG (rico en propano),0.0,2021-08-12
Av-Gas          ,988.0,2021-08-12
Jet fuel A-1,549.0,2021-08-12
Nafta Pesada    ,0.0,2021-08-12
Gasolina RON 95 ,749.0,2021-07-28
Gasolina RON 91,725.0,2021-07-28
Gasolina RON 91 pescadores,0.0,2021-07-28
Diésel para uso automotriz de 50 ppm de azufre,597.0,2021-07-28
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-07-28
Diésel marino,0.0,2021-07-28
Keroseno ,506.0,2021-07-28
Búnker    ,0.0,2021-07-28
Búnker Térmico ICE,0.0,2021-07-28
IFO 380   ,0.0,2021-07-28
Asfalto ,0.0,2021-07-28
Asfalto AC-10,0.0,2021-07-28
Diésel pesado o gasoleo,0.0,2021-07-28
Emulsión asfáltica rápida (RR),0.0,2021-07-28
Emulsión asfáltica lenta (RL),0.0,2021-07-28
LPG (70-30),374.0,2021-07-28
LPG (rico en propano),0.0,2021-07-28
Av-Gas          ,986.0,2021-07-28
Jet fuel A-1,548.0,2021-07-28
Nafta Pesada    ,0.0,2021-07-28
Gasolina RON 95 ,733.0,2021-06-29
Gasolina RON 91,711.0,2021-06-29
Gasolina RON 91 pescadores,0.0,2021-06-29
Diésel para uso automotriz de 50 ppm de azufre,593.0,2021-06-29
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-06-29
Diésel marino,0.0,2021-06-29
Keroseno ,493.0,2021-06-29
Búnker    ,0.0,2021-06-29
Búnker Térmico ICE,0.0,2021-06-29
IFO 380   ,0.0,2021-06-29
Asfalto ,0.0,2021-06-29
Asfalto AC-10,0.0,2021-06-29
Diésel pesado o gasoleo,0.0,2021-06-29
Emulsión asfáltica rápida (RR),0.0,2021-06-29
Emulsión asfáltica lenta (RL),0.0,2021-06-29
LPG (70-30),343.0,2021-06-29
LPG (rico en propano),0.0,2021-06-29
Av-Gas          ,961.0,2021-06-29
Jet fuel A-1,534.0,2021-06-29
Nafta Pesada    ,0.0,2021-06-29
Gasolina RON 95 ,734.0,2021-06-14
Gasolina RON 91,715.0,2021-06-14
Gasolina RON 91 pescadores,0.0,2021-06-14
Diésel para uso automotriz de 50 ppm de azufre,591.0,2021-06-14
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-06-14
Diésel marino,0.0,2021-06-14
Keroseno ,485.0,2021-06-14
Búnker    ,0.0,2021-06-14
Búnker Térmico ICE,0.0,2021-06-14
IFO 380   ,0.0,2021-06-14
Asfalto ,0.0,2021-06-14
Asfalto AC-10,0.0,2021-06-14
Diésel pesado o gasoleo,0.0,2021-06-14
Emulsión asfáltica rápida (RR),0.0,2021-06-14
Emulsión asfáltica lenta (RL),0.0,2021-06-14
LPG (70-30),321.0,2021-06-14
LPG (rico en propano),0.0,2021-06-14
Av-Gas          ,977.0,2021-06-14
Jet fuel A-1,527.0,2021-06-14
Nafta Pesada    ,0.0,2021-06-14
Gasolina RON 95 ,730.0,2021-06-01
Gasolina RON 91,710.0,2021-06-01
Gasolina RON 91 pescadores,0.0,2021-06-01
Diésel para uso automotriz de 50 ppm de azufre,587.0,2021-06-01
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-06-01
Diésel marino,0.0,2021-06-01
Keroseno ,481.0,2021-06-01
Búnker    ,0.0,2021-06-01
Búnker Térmico ICE,0.0,2021-06-01
IFO 380   ,0.0,2021-06-01
Asfalto ,0.0,2021-06-01
Asfalto AC-10,0.0,2021-06-01
Diésel pesado o gasoleo,0.0,2021-06-01
Emulsión asfáltica rápida (RR),0.0,2021-06-01
Emulsión asfáltica lenta (RL),0.0,2021-06-01
LPG (70-30),317.0,2021-06-01
LPG (rico en propano),0.0,2021-06-01
Av-Gas          ,977.0,2021-06-01
Jet fuel A-1,527.0,2021-06-01
Nafta Pesada    ,0.0,2021-06-01
Gasolina RON 95 ,708.0,2021-04-30
Gasolina RON 91,689.0,2021-04-30
Gasolina RON 91 pescadores,0.0,2021-04-30
Diésel para uso automotriz de 50 ppm de azufre,553.0,2021-04-30
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-04-30
Diésel marino,0.0,2021-04-30
Keroseno ,455.0,2021-04-30
Búnker    ,0.0,2021-04-30
Búnker Térmico ICE,0.0,2021-04-30
IFO 380   ,0.0,2021-04-30
Asfalto ,0.0,2021-04-30
Asfalto AC-10,0.0,2021-04-30
Diésel pesado o gasoleo,0.0,2021-04-30
Emulsión asfáltica rápida (RR),0.0,2021-04-30
Emulsión asfáltica lenta (RL),0.0,2021-04-30
LPG (70-30),330.0,2021-04-30
LPG (rico en propano),0.0,2021-04-30
Av-Gas          ,957.0,2021-04-30
Jet fuel A-1,502.0,2021-04-30
Nafta Pesada    ,0.0,2021-04-30
Gasolina RON 95 ,708.0,2021-04-27
Gasolina RON 91,689.0,2021-04-27
Gasolina RON 91 pescadores,0.0,2021-04-27
Diésel para uso automotriz de 50 ppm de azufre,554.0,2021-04-27
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-04-27
Diésel marino,0.0,2021-04-27
Keroseno ,455.0,2021-04-27
Búnker    ,0.0,2021-04-27
Búnker Térmico ICE,0.0,2021-04-27
IFO 380   ,0.0,2021-04-27
Asfalto ,0.0,2021-04-27
Asfalto AC-10,0.0,2021-04-27
Diésel pesado o gasoleo,0.0,2021-04-27
Emulsión asfáltica rápida (RR),0.0,2021-04-27
Emulsión asfáltica lenta (RL),0.0,2021-04-27
LPG (70-30),330.0,2021-04-27
LPG (rico en propano),0.0,2021-04-27
Av-Gas          ,957.0,2021-04-27
Jet fuel A-1,502.0,2021-04-27
Nafta Pesada    ,0.0,2021-04-27
Gasolina RON 95 ,700.0,2021-04-06
Gasolina RON 91,683.0,2021-04-06
Gasolina RON 91 pescadores,0.0,2021-04-06
Diésel para uso automotriz de 50 ppm de azufre,572.0,2021-04-06
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-04-06
Diésel marino,0.0,2021-04-06
Keroseno ,469.0,2021-04-06
Búnker    ,0.0,2021-04-06
Búnker Térmico ICE,0.0,2021-04-06
IFO 380   ,0.0,2021-04-06
Asfalto ,0.0,2021-04-06
Asfalto AC-10,0.0,2021-04-06
Diésel pesado o gasoleo,0.0,2021-04-06
Emulsión asfáltica rápida (RR),0.0,2021-04-06
Emulsión asfáltica lenta (RL),0.0,2021-04-06
LPG (70-30),322.0,2021-04-06
LPG (rico en propano),0.0,2021-04-06
Av-Gas          ,952.0,2021-04-06
Jet fuel A-1,516.0,2021-04-06
Nafta Pesada    ,0.0,2021-04-06
Gasolina RON 95 ,643.0,2021-03-02
Gasolina RON 91,628.0,2021-03-02
Gasolina RON 91 pescadores,0.0,2021-03-02
Diésel para uso automotriz de 50 ppm de azufre,536.0,2021-03-02
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-03-02
Diésel marino,0.0,2021-03-02
Keroseno ,440.0,2021-03-02
Búnker    ,0.0,2021-03-02
Búnker Térmico ICE,0.0,2021-03-02
IFO 380   ,0.0,2021-03-02
Asfalto ,0.0,2021-03-02
Asfalto AC-10,0.0,2021-03-02
Diésel pesado o gasoleo,0.0,2021-03-02
Emulsión asfáltica rápida (RR),0.0,2021-03-02
Emulsión asfáltica lenta (RL),0.0,2021-03-02
LPG (70-30),322.0,2021-03-02
LPG (rico en propano),0.0,2021-03-02
Av-Gas          ,901.0,2021-03-02
Jet fuel A-1,485.0,2021-03-02
Nafta Pesada    ,0.0,2021-03-02
Gasolina RON 95 ,606.0,2021-02-09
Gasolina RON 91,591.0,2021-02-09
Gasolina RON 91 pescadores,0.0,2021-02-09
Diésel para uso automotriz de 50 ppm de azufre,504.0,2021-02-09
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-02-09
Diésel marino,0.0,2021-02-09
Keroseno ,415.0,2021-02-09
Búnker    ,0.0,2021-02-09
Búnker Térmico ICE,0.0,2021-02-09
IFO 380   ,0.0,2021-02-09
Asfalto ,0.0,2021-02-09
Asfalto AC-10,0.0,2021-02-09
Diésel pesado o gasoleo,0.0,2021-02-09
Emulsión asfáltica rápida (RR),0.0,2021-02-09
Emulsión asfáltica lenta (RL),0.0,2021-02-09
LPG (70-30),310.0,2021-02-09
LPG (rico en propano),0.0,2021-02-09
Av-Gas          ,879.0,2021-02-09
Jet fuel A-1,463.0,2021-02-09
Nafta Pesada    ,0.0,2021-02-09
Gasolina RON 95 ,605.0,2021-01-28
Gasolina RON 91,589.0,2021-01-28
Gasolina RON 91 pescadores,0.0,2021-01-28
Diésel para uso automotriz de 50 ppm de azufre,503.0,2021-01-28
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-01-28
Diésel marino,0.0,2021-01-28
Keroseno ,415.0,2021-01-28
Búnker    ,0.0,2021-01-28
Búnker Térmico ICE,0.0,2021-01-28
IFO 380   ,0.0,2021-01-28
Asfalto ,0.0,2021-01-28
Asfalto AC-10,0.0,2021-01-28
Diésel pesado o gasoleo,0.0,2021-01-28
Emulsión asfáltica rápida (RR),0.0,2021-01-28
Emulsión asfáltica lenta (RL),0.0,2021-01-28
LPG (70-30),310.0,2021-01-28
LPG (rico en propano),0.0,2021-01-28
Av-Gas          ,877.0,2021-01-28
Jet fuel A-1,462.0,2021-01-28
Nafta Pesada    ,0.0,2021-01-28
Gasolina RON 95 ,583.0,2021-01-11
Gasolina RON 91,562.0,2021-01-11
Gasolina RON 91 pescadores,0.0,2021-01-11
Diésel para uso automotriz de 50 ppm de azufre,483.0,2021-01-11
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2021-01-11
Diésel marino,0.0,2021-01-11
Keroseno ,400.0,2021-01-11
Búnker    ,0.0,2021-01-11
Búnker Térmico ICE,0.0,2021-01-11
IFO 380   ,0.0,2021-01-11
Asfalto ,0.0,2021-01-11
Asfalto AC-10,0.0,2021-01-11
Diésel pesado o gasoleo,0.0,2021-01-11
Emulsión asfáltica rápida (RR),0.0,2021-01-11
Emulsión asfáltica lenta (RL),0.0,2021-01-11
LPG (70-30),277.0,2021-01-11
LPG (rico en propano),0.0,2021-01-11
Av-Gas          ,851.0,2021-01-11
Jet fuel A-1,446.0,2021-01-11
Nafta Pesada    ,0.0,2021-01-11
Gasolina RON 95 ,556.0,2020-12-16
Gasolina RON 91,533.0,2020-12-16
Gasolina RON 91 pescadores,0.0,2020-12-16
Diésel para uso automotriz de 50 ppm de azufre,454.0,2020-12-16
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-12-16
Diésel marino,0.0,2020-12-16
Keroseno ,368.0,2020-12-16
Búnker    ,0.0,2020-12-16
Búnker Térmico ICE,0.0,2020-12-16
IFO 380   ,0.0,2020-12-16
Asfalto ,0.0,2020-12-16
Asfalto AC-10,0.0,2020-12-16
Diésel pesado o gasoleo,0.0,2020-12-16
Emulsión asfáltica rápida (RR),0.0,2020-12-16
Emulsión asfáltica lenta (RL),0.0,2020-12-16
LPG (70-30),271.0,2020-12-16
LPG (rico en propano),0.0,2020-12-16
Av-Gas          ,832.0,2020-12-16
Jet fuel A-1,426.0,2020-12-16
Nafta Pesada    ,0.0,2020-12-16
Gasolina RON 95 ,552.0,2020-12-01
Gasolina RON 91,529.0,2020-12-01
Gasolina RON 91 pescadores,0.0,2020-12-01
Diésel para uso automotriz de 50 ppm de azufre,450.0,2020-12-01
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-12-01
Diésel marino,0.0,2020-12-01
Keroseno ,364.0,2020-12-01
Búnker    ,0.0,2020-12-01
Búnker Térmico ICE,0.0,2020-12-01
IFO 380   ,0.0,2020-12-01
Asfalto ,0.0,2020-12-01
Asfalto AC-10,0.0,2020-12-01
Diésel pesado o gasoleo,0.0,2020-12-01
Emulsión asfáltica rápida (RR),0.0,2020-12-01
Emulsión asfáltica lenta (RL),0.0,2020-12-01
LPG (70-30),271.0,2020-12-01
LPG (rico en propano),0.0,2020-12-01
Av-Gas          ,831.0,2020-12-01
Jet fuel A-1,424.0,2020-12-01
Nafta Pesada    ,0.0,2020-12-01
Gasolina RON 95 ,572.0,2020-11-06
Gasolina RON 91,547.0,2020-11-06
Gasolina RON 91 pescadores,0.0,2020-11-06
Diésel para uso automotriz de 50 ppm de azufre,441.0,2020-11-06
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-11-06
Diésel marino,0.0,2020-11-06
Keroseno ,355.0,2020-11-06
Búnker    ,0.0,2020-11-06
Búnker Térmico ICE,0.0,2020-11-06
IFO 380   ,0.0,2020-11-06
Asfalto ,0.0,2020-11-06
Asfalto AC-10,0.0,2020-11-06
Diésel pesado o gasoleo,0.0,2020-11-06
Emulsión asfáltica rápida (RR),0.0,2020-11-06
Emulsión asfáltica lenta (RL),0.0,2020-11-06
LPG (70-30),256.0,2020-11-06
LPG (rico en propano),0.0,2020-11-06
Av-Gas          ,850.0,2020-11-06
Jet fuel A-1,415.0,2020-11-06
Nafta Pesada    ,0.0,2020-11-06
Gasolina RON 95 ,571.0,2020-10-28
Gasolina RON 91,546.0,2020-10-28
Gasolina RON 91 pescadores,0.0,2020-10-28
Diésel para uso automotriz de 50 ppm de azufre,440.0,2020-10-28
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-10-28
Diésel marino,0.0,2020-10-28
Keroseno ,355.0,2020-10-28
Búnker    ,0.0,2020-10-28
Búnker Térmico ICE,0.0,2020-10-28
IFO 380   ,0.0,2020-10-28
Asfalto ,0.0,2020-10-28
Asfalto AC-10,0.0,2020-10-28
Diésel pesado o gasoleo,0.0,2020-10-28
Emulsión asfáltica rápida (RR),0.0,2020-10-28
Emulsión asfáltica lenta (RL),0.0,2020-10-28
LPG (70-30),256.0,2020-10-28
LPG (rico en propano),0.0,2020-10-28
Av-Gas          ,848.0,2020-10-28
Jet fuel A-1,414.0,2020-10-28
Nafta Pesada    ,0.0,2020-10-28
Gasolina RON 95 ,608.0,2020-09-30
Gasolina RON 91,578.0,2020-09-30
Gasolina RON 91 pescadores,0.0,2020-09-30
Diésel para uso automotriz de 50 ppm de azufre,487.0,2020-09-30
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-09-30
Diésel marino,0.0,2020-09-30
Keroseno ,366.0,2020-09-30
Búnker    ,0.0,2020-09-30
Búnker Térmico ICE,0.0,2020-09-30
IFO 380   ,0.0,2020-09-30
Asfalto ,0.0,2020-09-30
Asfalto AC-10,0.0,2020-09-30
Diésel pesado o gasoleo,0.0,2020-09-30
Emulsión asfáltica rápida (RR),0.0,2020-09-30
Emulsión asfáltica lenta (RL),0.0,2020-09-30
LPG (70-30),252.0,2020-09-30
LPG (rico en propano),0.0,2020-09-30
Av-Gas          ,869.0,2020-09-30
Jet fuel A-1,444.0,2020-09-30
Nafta Pesada    ,0.0,2020-09-30
Gasolina RON 95 ,599.0,2020-09-02
Gasolina RON 91,570.0,2020-09-02
Gasolina RON 91 pescadores,0.0,2020-09-02
Diésel para uso automotriz de 50 ppm de azufre,495.0,2020-09-02
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-09-02
Diésel marino,0.0,2020-09-02
Keroseno ,371.0,2020-09-02
Búnker    ,0.0,2020-09-02
Búnker Térmico ICE,0.0,2020-09-02
IFO 380   ,0.0,2020-09-02
Asfalto ,0.0,2020-09-02
Asfalto AC-10,0.0,2020-09-02
Diésel pesado o gasoleo,0.0,2020-09-02
Emulsión asfáltica rápida (RR),0.0,2020-09-02
Emulsión asfáltica lenta (RL),0.0,2020-09-02
LPG (70-30),252.0,2020-09-02
LPG (rico en propano),0.0,2020-09-02
Av-Gas          ,851.0,2020-09-02
Jet fuel A-1,449.0,2020-09-02
Nafta Pesada    ,0.0,2020-09-02
Gasolina RON 95 ,570.0,2020-08-03
Gasolina RON 91,551.0,2020-08-03
Gasolina RON 91 pescadores,0.0,2020-08-03
Diésel para uso automotriz de 50 ppm de azufre,445.0,2020-08-03
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-08-03
Diésel marino,0.0,2020-08-03
Keroseno ,352.0,2020-08-03
Búnker    ,0.0,2020-08-03
Búnker Térmico ICE,0.0,2020-08-03
IFO 380   ,0.0,2020-08-03
Asfalto ,0.0,2020-08-03
Asfalto AC-10,0.0,2020-08-03
Diésel pesado o gasoleo,0.0,2020-08-03
Emulsión asfáltica rápida (RR),0.0,2020-08-03
Emulsión asfáltica lenta (RL),0.0,2020-08-03
LPG (70-30),242.04644,2020-08-03
LPG (rico en propano),0.0,2020-08-03
Av-Gas          ,792.0,2020-08-03
Jet fuel A-1,409.0,2020-08-03
Nafta Pesada    ,0.0,2020-08-03
Gasolina RON 95 ,572.0,2020-07-25
Gasolina RON 91,552.0,2020-07-25
Gasolina RON 91 pescadores,0.0,2020-07-25
Diésel para uso automotriz de 50 ppm de azufre,446.0,2020-07-25
Diésel para uso automotriz de 50 ppm de azufre pescadores,0.0,2020-07-25
Diésel marino,0.0,2020-07-25
Keroseno ,352.0,2020-07-25
Búnker    ,0.0,2020-07-25
Búnker Térmico ICE,0.0,2020-07-25
IFO 380   ,0.0,2020-07-25
Asfalto ,0.0,2020-07-25
Asfalto AC-10,0.0,2020-07-25
Diésel pesado o gasoleo,0.0,2020-07-25
Emulsión asfáltica rápida (RR),0.0,2020-07-25
Emulsión asfáltica lenta (RL),0.0,2020-07-25
LPG (70-30),242.29644,2020-07-25
LPG (rico en propano),0.0,2020-07-25
Av-Gas          ,794.0,2020-07-25
Jet fuel A-1,410.0,2020-07-25
Nafta Pesada    ,0.0,2020-07-25
Gasolina RON 95 ,580.0,2020-07-01
